,id,name,symbol,date_added,circulating_supply,total_supply,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.market_cap
28,873,NEM,XEM,2015-04-01T00:00:00.000Z,8999999999.0,8999999999.0,29,2020-07-15T02:03:09.000Z,0.0470596765358,8934923.96144792,0.600838,1.29754,6.28969,423537088.77514035
29,5692,Compound,COMP,2020-06-16T00:00:00.000Z,2561279.0,10000000.0,30,2020-07-15T02:03:27.000Z,164.343500727,37483402.2663941,0.144389,-0.391909,-11.6195,420929557.1985498
30,74,Dogecoin,DOGE,2013-12-15T00:00:00.000Z,125408835593.31,125408835593.31,31,2020-07-15T02:03:09.000Z,0.00327858666325,101492223.735202,0.745682,4.13598,-9.81747,411163735.82993805
31,3662,HedgeTrade,HEDG,2019-01-03T00:00:00.000Z,288208798.06353,1000000000.0,32,2020-07-15T02:03:18.000Z,1.36134319903,380556.777901944,0.610728,-0.634131,-12.3619,392351087.14439726
32,1697,Basic Attention Token,BAT,2017-06-01T00:00:00.000Z,1480958645.4263,1500000000.0,33,2020-07-15T02:03:10.000Z,0.263555642932,130871329.536991,1.10936,1.70403,2.78917,390315007.95103234
33,1982,Kyber Network,KNC,2017-09-24T00:00:00.000Z,193944452.665069,210552294.383933,34,2020-07-15T02:03:10.000Z,1.64769525343,101491731.274077,-0.249518,10.4887,2.28454,319561354.08531356
34,2239,Aave,LEND,2017-11-30T00:00:00.000Z,1299999941.70317,1299999941.70317,35,2020-07-15T02:03:10.000Z,0.238865253873,17329140.1847949,0.702218,12.67,22.4238,310524816.1098129
35,3897,OKB,OKB,2019-04-30T00:00:00.000Z,60000000.0,300000000.0,36,2020-07-15T02:03:19.000Z,5.08933568574,103771242.513368,0.673659,0.285223,1.11551,305360141.1444
36,4195,FTX Token,FTT,2019-07-31T00:00:00.000Z,94346957.5237492,345219293.590977,37,2020-07-15T02:03:20.000Z,3.11020317764,5470145.03081986,0.361758,-0.00679565,4.1324,293438207.09103084
37,1896,0x,ZRX,2017-08-16T00:00:00.000Z,702494632.45329,1000000000.0,38,2020-07-15T02:03:11.000Z,0.4076762948,49487685.5543224,2.1317,2.72894,-5.23149,286390408.8754451
38,109,DigiByte,DGB,2014-02-06T00:00:00.000Z,13344483103.887,13344483103.887,39,2020-07-15T02:03:08.000Z,0.0212268203224,12072685.5162483,0.342487,-0.8284,-3.09324,283260945.141512
39,3330,Paxos Standard,PAX,2018-09-27T00:00:00.000Z,244951954.494264,249952064.83,40,2020-07-15T02:03:18.000Z,1.0029081833,170230077.827524,0.37012,0.325062,0.223601,245664319.67762658
40,2586,Synthetix Network Token,SNX,2018-03-14T00:00:00.000Z,86773183.181,190075445.544,41,2020-07-15T02:03:12.000Z,2.79761650472,13912700.3182551,1.80757,10.6408,9.52037,242758089.4342575
41,1684,Qtum,QTUM,2017-05-24T00:00:00.000Z,96859831.6577188,102579252.0,42,2020-07-15T02:03:10.000Z,2.45368234305,431055342.233023,0.89994,11.8945,35.1325,237663258.68934003
42,2099,ICON,ICX,2017-10-27T00:00:00.000Z,547638769.266,842761908.425,43,2020-07-15T02:03:11.000Z,0.415039612891,37740166.4246155,-0.156132,1.34628,5.14436,227291782.80026433
43,1104,Augur,REP,2015-10-27T00:00:00.000Z,11000000.0,11000000.0,44,2020-07-15T02:03:09.000Z,20.0514487116,23161291.9296806,-0.110131,7.71392,1.90446,220565935.8276
44,1808,OMG Network,OMG,2017-07-14T00:00:00.000Z,140245398.245133,140245398.245133,45,2020-07-15T02:03:11.000Z,1.52825038502,74337891.150265,0.284335,0.0805869,-2.14025,214330083.86540776
45,2416,THETA,THETA,2018-01-17T00:00:00.000Z,870502690.0,1000000000.0,46,2020-07-15T02:03:11.000Z,0.242213236222,23904406.5535243,0.823354,-0.638887,-4.30349,210847273.68485644
46,4030,Algorand,ALGO,2019-06-20T00:00:00.000Z,771817006.928144,3303088849.92814,47,2020-07-15T02:03:20.000Z,0.270134706719,47084583.0984988,-0.850821,2.69041,15.7648,208494560.80727056
47,2469,Zilliqa,ZIL,2018-01-25T00:00:00.000Z,10275198887.8213,13566666040.8213,48,2020-07-15T02:03:12.000Z,0.0199846646976,35153365.0848936,0.517638,1.51692,-2.84236,205346404.47426113
48,4943,Dai,DAI,2019-11-22T00:00:00.000Z,196121077.499765,196658288.91191,49,2020-07-15T02:03:21.000Z,1.0108680867,7928689.63903671,0.186418,-0.0686082,0.15369,198252538.37372985
49,3695,Hyperion,HYN,2019-01-14T00:00:00.000Z,316765917.406,10000000000.0,50,2020-07-15T02:03:18.000Z,0.616583011594,10540370.9741833,0.345024,0.998051,22.2115,195312483.32452774
50,4642,Hedera Hashgraph,HBAR,2019-09-17T00:00:00.000Z,4753742720.0,50000000000.0,51,2020-07-15T02:03:20.000Z,0.0407246587113,7644946.06193196,0.166651,-0.452756,0.531756,193594549.87332696
51,4086,Elrond,ERD,2019-07-04T00:00:00.000Z,13173632812.9714,20000000000.0,52,2020-07-15T02:03:19.000Z,0.0146050516749,35146222.0994624,0.891204,-4.28307,80.1216,192401587.97960553
52,3356,The Midas Touch Gold,TMTG,2018-09-27T00:00:00.000Z,3820102323.07,9635139666.07,53,2020-07-15T02:03:18.000Z,0.0491832424272,17558216.8798964,0.521665,-5.80024,8.51525,187885018.6522617
53,1168,Decred,DCR,2016-02-10T00:00:00.000Z,11747872.7290062,11747872.7290062,54,2020-07-15T02:03:09.000Z,15.4093298498,6529873.94883386,0.498437,3.61643,1.33974,181026845.91472661
54,2222,Bitcoin Diamond,BCD,2017-11-24T00:00:00.000Z,186492897.953,189492897.953,55,2020-07-15T02:03:11.000Z,0.902600977205,18061549.9637487,-1.50083,1.59998,6.67819,168328671.93417016
55,4687,Binance USD,BUSD,2019-09-20T00:00:00.000Z,166047794.9,166047794.9,56,2020-07-15T02:03:20.000Z,1.00184578911,84912333.9402052,0.253439,0.187821,0.119098,166354284.11156595
56,2083,Bitcoin Gold,BTG,2017-10-23T00:00:00.000Z,17513923.589,17513923.589,57,2020-07-15T02:03:11.000Z,9.43794912424,35868383.3632891,-0.781104,0.718577,1.70491,165295519.79880884
57,2539,Ren,REN,2018-02-21T00:00:00.000Z,866416516.417694,999999632.80375,58,2020-07-15T02:03:12.000Z,0.180025159436,9643937.71146235,-0.132742,2.4438,-3.72331,155976771.50607908
58,1214,Lisk,LSK,2016-04-06T00:00:00.000Z,124677710.492076,140709766.0,59,2020-07-15T02:03:09.000Z,1.23470736539,4821040.45550177,0.2765,1.59486,6.49798,153940487.4445283
59,2130,Enjin Coin,ENJ,2017-11-01T00:00:00.000Z,821201679.408264,1000000000.0,60,2020-07-15T02:03:11.000Z,0.186768998936,27057584.2200207,0.858821,4.42928,5.23438,153375015.58764347
60,1934,Loopring,LRC,2017-08-30T00:00:00.000Z,1111529336.86024,1374513896.69082,61,2020-07-15T02:03:10.000Z,0.133420730848,27634529.4420208,1.06421,5.41651,38.3218,148301056.482886
